sp,lat,lon
vociferans,-2.08658333,-56.6211389
vociferans,-6.46,-51.0733333
vociferans,-2.6,-56.1833333
vociferans,-12.82975,-52.4000111
vociferans,-7.51833333,-63.3377778
vociferans,-8.90913889,-62.0000083
vociferans,-3.15,-55.8166667
vociferans,-5.76668056,-57.2876389
vociferans,-1.52333,-52.5817
vociferans,-3.20333,-52.2033
vociferans,-3.47222,-51.1978
vociferans,-2.63639,-54.9372
vociferans,-3.8425,-49.0969
vociferans,-4.27611,-55.9836
vociferans,-6.22222,-57.7528
vociferans,-5.36861,-49.1178
vociferans,-1.80444,-50.7122
vociferans,-7.14778,-55.3811
vociferans,-1.9175,-55.5181
vociferans,-1.76556,-55.8661
vociferans,-3.83778,-50.6375
vociferans,-2.99583,-47.3528
vociferans,-6.0675,-49.9022
vociferans,-3.86778,-54.22
vociferans,1.8,-53.48
vociferans,-1.22361,-48.2944
vociferans,-2.88,-52.01
vociferans,-6.64472,-51.995
vociferans,-9.24263,-35.823
vociferans,-14.2532,-39.1742
vociferans,-16.3798,-39.175
vociferans,-19.2409,-40.0047
vociferans,-15.2534,-39.2365
vociferans,-19.0167,-40.0895
vociferans,-19.08194,-39.88667
vociferans,-18.8621,-39.8982
vociferans,-9.92,-36.13
